Costco Member,Cars Owned,Driving Pref,Siblings Count,Favorite Music,Shopping Pref,Food Pref,Lactose Intolerant,Close Friends Count,Kids Count,Pet Pref,Lightsaber Color,Starter Pokemon,Daily Screen Time
Yes,0,other transportation,13,R & B,online shopping,Japanese,Yes,5,1,neither,green blue,Squirtle,3 - 4 hours
No,1,other transportation,1,rap,online shopping,Mexican,I don't know,10,0,dog,yellow,Squirtle,1 - 2 hours
Yes,1,driving,1,R & B,in person shopping,Mexican,No,4,0,dog,yellow,Squirtle,3 - 4 hours
No,2,other transportation,1,pop,online shopping,Japanese,Yes,5,0,neither,green blue,Charmander,3 - 4 hours
No,1,driving,0,pop,online shopping,Mediterranean,No,6,0,cat,green blue,Charmander,more than 5 hours
Yes,1,driving,0,Latin,online shopping,Mexican,No,3,0,dog,red,Charmander,more than 5 hours
No,0,driving,1,pop,online shopping,Mediterranean,Yes,1,0,dog,green blue,none,1 - 2 hours
Yes,1,driving,2,pop,online shopping,Chinese,No,5,0,cat,orange,Charmander,3 - 4 hours
Yes,1,driving,3,rap,in person shopping,Italian,No,8,1,dog,black,Squirtle,1 - 2 hours
Yes,1,driving,7,R & B,in person shopping,Mexican,Yes,4,0,dog,purple,Charmander,3 - 4 hours
Yes,2,driving,1,Punk rock,online shopping,Chinese,No,6,1,dog,red,Squirtle,3 - 4 hours
No,1,driving,1,R & B,online shopping,Japanese,No,4,1,dog,red,none,3 - 4 hours
Yes,1,driving,4,reggae,online shopping,Chinese,I don't know,7,0,dog,purple,Charmander,more than 5 hours
Yes,1,driving,1,R & B,online shopping,Mexican,No,4,0,dog,orange,Charmander,3 - 4 hours
Yes,2,driving,2,rap,online shopping,Japanese,I don't know,0,1,dog,white,Charmander,1 - 2 hours
No,1,driving,4,electronic,online shopping,Mexican,No,4,0,cat,purple,Charmander,3 - 4 hours
Yes,1,driving,2,R & B,online shopping,Japanese,No,3,0,cat,green blue,Charmander,3 - 4 hours
No,2,driving,1,Classic rock,online shopping,Japanese,Yes,7,2,cat,green blue,none,3 - 4 hours
No,1,driving,1,rap,online shopping,Chinese,No,8,0,cat,green blue,Squirtle,3 - 4 hours
Yes,0,other transportation,2,R & B,online shopping,Chinese,Yes,3,0,cat,purple,Bulbasaur,more than 5 hours
Yes,2,driving,5,pop,in person shopping,Mexican,Yes,5,2,dog,white,Squirtle,3 - 4 hours
No,1,driving,1,R & B,in person shopping,Japanese,No,6,0,cat,black,Squirtle,3 - 4 hours
Yes,1,driving,2,EDM & Alternative Rock,online shopping,Chinese,No,10,0,dog,purple,Squirtle,1 - 2 hours
Yes,1,driving,0,pop,online shopping,Japanese,No,2,0,dog,purple,Bulbasaur,3 - 4 hours
Yes,2,driving,3,R & B,online shopping,Japanese,No,5,1,cat,white,Bulbasaur,3 - 4 hours
Yes,5,other transportation,3,R & B,in person shopping,Japanese,Yes,5,1,cat,orange,Bulbasaur,3 - 4 hours
No,1,driving,1,pop,online shopping,Mexican,Yes,7,0,dog,purple,Bulbasaur,3 - 4 hours
Yes,1,driving,2,pop,online shopping,Japanese,No,10,0,dog,green blue,Squirtle,more than 5 hours
Yes,1,driving,2,rap,online shopping,Mexican,I don't know,5,0,dog,purple,Squirtle,3 - 4 hours
Yes,1,driving,2,reggae,in person shopping,Mexican,Yes,5,0,dog,red,Charmander,more than 5 hours
Yes,1,driving,1,Rock,in person shopping,Mexican,No,5,0,dog,purple,Squirtle,1 - 2 hours
Yes,2,driving,1,pop,in person shopping,Chinese,No,4,1,dog,white,Charmander,more than 5 hours
Yes,2,driving,4,R & B,in person shopping,Mexican,No,10,0,dog,green blue,Charmander,3 - 4 hours
Yes,1,driving,4,R & B,in person shopping,Japanese,No,6,1,dog,green blue,Squirtle,more than 5 hours
Yes,1,driving,4,indie,online shopping,Japanese,Yes,5,0,dog,white,Bulbasaur,3 - 4 hours
No,1,other transportation,1,"musicials, electic",online shopping,Mediterranean,No,4,0,dog,green blue,none,Less than 1 hour
Yes,1,driving,1,R & B,online shopping,Japanese,No,3,1,dog,white,Squirtle,3 - 4 hours
Yes,1,driving,2,rap,in person shopping,Japanese,No,5,0,dog,black,Squirtle,3 - 4 hours
Yes,1,driving,1,rap,in person shopping,Japanese,No,3,0,neither,black,Bulbasaur,more than 5 hours
Yes,2,driving,2,R & B,in person shopping,Italian,No,5,2,neither,white,none,more than 5 hours
Yes,1,driving,1,electronic,in person shopping,Chinese,Yes,20,0,neither,green blue,Charmander,more than 5 hours
Yes,1,driving,2,rap,online shopping,Mexican,Yes,5,0,dog,green blue,Charmander,more than 5 hours
Yes,2,driving,3,country,online shopping,Japanese,Yes,10,1,dog,white,Bulbasaur,3 - 4 hours
Yes,1,driving,2,R & B,online shopping,Japanese,Yes,5,2,dog,purple,Charmander,1 - 2 hours
Yes,2,driving,2,pop,online shopping,Mexican,No,2,1,neither,red,Charmander,more than 5 hours
Yes,1,driving,2,Metal,in person shopping,Mexican,No,3,0,cat,black,Charmander,3 - 4 hours
Yes,1,driving,2,pop,in person shopping,Japanese,Yes,10,0,dog,white,Bulbasaur,more than 5 hours
Yes,1,driving,1,R & B,online shopping,Chinese,Yes,8,1,dog,purple,Bulbasaur,1 - 2 hours
No,1,driving,3,R & B,online shopping,Japanese,No,7,0,dog,yellow,Squirtle,3 - 4 hours
Yes,0,driving,2,pop,in person shopping,Japanese,Yes,4,0,dog,purple,none,more than 5 hours
Yes,3,driving,3,country,online shopping,Italian,Yes,10,2,dog,purple,none,3 - 4 hours
Yes,1,driving,1,country,online shopping,Mexican,No,3,0,dog,yellow,Charmander,more than 5 hours
No,2,driving,2,Metal,online shopping,Mexican,Yes,1,1,cat,purple,Squirtle,3 - 4 hours
No,1,driving,2,country,online shopping,Mexican,No,2,0,dog,green blue,Charmander,3 - 4 hours
Yes,3,driving,2,rap,online shopping,Italian,No,5,0,cat,white,Charmander,more than 5 hours
Yes,2,driving,3,All types,in person shopping,Mexican,No,5,1,cat,purple,Squirtle,3 - 4 hours
Yes,1,driving,2,rap,online shopping,Italian,Yes,7,0,dog,purple,Squirtle,3 - 4 hours
Yes,1,driving,2,R & B,online shopping,Japanese,No,3,1,dog,black,Charmander,1 - 2 hours
Yes,2,driving,1,electronic,online shopping,Mediterranean,No,8,0,cat,purple,Squirtle,3 - 4 hours
Yes,3,driving,3,R & B,online shopping,Chinese,Yes,10,2,dog,purple,Squirtle,1 - 2 hours
Yes,1,driving,0,rock,in person shopping,Japanese,No,3,0,dog,orange,Squirtle,more than 5 hours
Yes,1,driving,3,R & B,in person shopping,Mexican,No,2,0,dog,purple,none,3 - 4 hours
Yes,2,driving,1,Tuva throat singing,in person shopping,Mediterranean,Yes,5,0,neither,yellow,Bulbasaur,more than 5 hours
Yes,1,driving,0,electronic,online shopping,Mexican,Yes,5,0,cat,purple,Squirtle,more than 5 hours
No,2,driving,3,country,online shopping,Chinese,Yes,20,0,cat,green blue,Charmander,more than 5 hours
Yes,1,driving,6,pop,in person shopping,Japanese,No,2,0,dog,green blue,Squirtle,more than 5 hours
No,1,driving,3,Latin/hip hop,in person shopping,Mexican,No,5,0,dog,orange,Charmander,3 - 4 hours
Yes,2,driving,4,Metal,online shopping,Mediterranean,No,4,2,cat,red,none,3 - 4 hours
No,1,driving,6,R & B,in person shopping,Japanese,No,10,0,neither,green blue,none,3 - 4 hours
Yes,2,driving,0,electronic,online shopping,Chinese,No,10,1,dog,green blue,Charmander,3 - 4 hours
No,2,driving,0,All,online shopping,Japanese,Yes,3,0,cat,red,Bulbasaur,more than 5 hours
Yes,4,driving,3,R & B,online shopping,Japanese,Yes,4,3,dog,red,Charmander,more than 5 hours
Yes,1,driving,3,electronic,online shopping,Japanese,No,2,0,dog,white,Charmander,3 - 4 hours
Yes,1,driving,2,R & B,online shopping,Japanese,Yes,4,0,dog,green blue,Bulbasaur,3 - 4 hours
Yes,1,driving,1,rap,in person shopping,Italian,No,4,0,cat,green blue,Squirtle,3 - 4 hours
No,1,driving,4,pop,online shopping,Japanese,No,4,3,dog,green blue,Charmander,more than 5 hours
Yes,1,driving,2,R & B,online shopping,Japanese,No,3,0,dog,white,Squirtle,1 - 2 hours
Yes,2,driving,2,pop,online shopping,Japanese,Yes,5,3,dog,red,none,Less than 1 hour
Yes,2,driving,2,R & B,online shopping,Mexican,No,5,0,dog,purple,Charmander,more than 5 hours
Yes,1,driving,2,Rock,online shopping,Japanese,Yes,8,0,dog,red,Charmander,more than 5 hours
Yes,2,other transportation,4,R & B,in person shopping,Japanese,No,4,0,dog,orange,Squirtle,more than 5 hours
No,1,driving,2,electronic,online shopping,Japanese,Yes,8,0,cat,purple,Squirtle,3 - 4 hours
No,3,driving,1,Alternative rock,in person shopping,Japanese,No,12,0,dog,red,Charmander,more than 5 hours
Yes,4,driving,0,Easy listening ,online shopping,Chinese,No,1,2,dog,green blue,none,3 - 4 hours
Yes,1,driving,8,R & B,online shopping,Mexican,No,6,0,dog,purple,Charmander,more than 5 hours
No,2,driving,4,rap,online shopping,Mexican,I don't know,5,0,dog,purple,Charmander,more than 5 hours
Yes,4,driving,3,R & B,in person shopping,Chinese,No,1,2,neither,green blue,Charmander,more than 5 hours
No,1,driving,1,pop,online shopping,Japanese,No,2,0,dog,purple,Bulbasaur,more than 5 hours
No,1,driving,1,All,online shopping,Mexican,I don't know,0,0,neither,black,Squirtle,more than 5 hours
Yes,2,driving,0,R & B,online shopping,Chinese,Yes,3,0,cat,black,Charmander,3 - 4 hours
Yes,2,driving,2,pop,online shopping,Chinese,No,3,0,cat,green blue,Charmander,more than 5 hours
Yes,1,driving,2,Kpop,in person shopping,Japanese,No,7,0,dog,purple,Squirtle,more than 5 hours
Yes,1,driving,1,pop,online shopping,Japanese,No,4,0,cat,white,Bulbasaur,more than 5 hours
No,1,driving,1,pop,online shopping,Japanese,No,6,0,dog,green blue,Squirtle,more than 5 hours
Yes,1,driving,2,R & B,online shopping,Japanese,Yes,3,0,neither,green blue,Charmander,3 - 4 hours
No,1,driving,2,R & B,online shopping,Japanese,Yes,8,0,dog,purple,Bulbasaur,3 - 4 hours
Yes,0,other transportation,3,pop,in person shopping,Japanese,Yes,4,0,dog,purple,Bulbasaur,3 - 4 hours
No,0,other transportation,0,pop,online shopping,Mexican,I don't know,5,0,neither,black,none,more than 5 hours
No,1,driving,1,Indie,in person shopping,Mexican,Yes,2,0,dog,white,Bulbasaur,more than 5 hours
Yes,1,driving,1,Rock,online shopping,Mexican,Yes,3,0,cat,red,Squirtle,more than 5 hours
No,1,driving,0,electronic,in person shopping,Chinese,Yes,3,0,neither,yellow,Charmander,3 - 4 hours
No,1,driving,1,pop,online shopping,Chinese,No,5,0,dog,red,Charmander,more than 5 hours
No,2,driving,3,R & B,online shopping,Mexican,No,3,0,cat,blue,Bulbasaur,more than 5 hours
Yes,1,driving,3,R & B,online shopping,Japanese,No,3,0,dog,black,Charmander,more than 5 hours
Yes,3,driving,1,pop,in person shopping,Japanese,No,2,0,dog,red,Charmander,more than 5 hours
No,1,driving,1,R & B,online shopping,Japanese,Yes,20,0,dog,green,Squirtle,3 - 4 hours
Yes,1,other transportation,2,pop,in person shopping,Mexican,Yes,5,0,neither,purple,Squirtle,more than 5 hours
No,1,other transportation,0,Jangle pop,online shopping,Italian,No,5,0,dog,black,Squirtle,more than 5 hours
No,1,driving,1,rap,in person shopping,Mexican,I don't know,7,0,dog,red,Bulbasaur,more than 5 hours
No,0,other transportation,2,Indie,in person shopping,Japanese,I don't know,8,0,dog,black,Squirtle,3 - 4 hours
No,1,driving,2,pop,in person shopping,Japanese,No,2,0,dog,green,Squirtle,more than 5 hours
Yes,1,driving,3,Rock,online shopping,Japanese,No,4,0,dog,white,Charmander,more than 5 hours
No,0,other transportation,9,rap,online shopping,Japanese,Yes,4,0,cat,red,Squirtle,more than 5 hours
No,1,driving,2,pop,in person shopping,Chinese,Yes,2,0,dog,green blue,Charmander,3 - 4 hours
Yes,1,driving,1,R & B,online shopping,Japanese,Yes,3,0,dog,blue,Charmander,3 - 4 hours
No,0,other transportation,1,Indie Rock,online shopping,Mexican,No,6,0,cat,purple,Squirtle,more than 5 hours
No,3,other transportation,2,pop,in person shopping,Japanese,Yes,5,0,dog,purple,Charmander,more than 5 hours
No,1,driving,3,R & B,in person shopping,Italian,Yes,6,0,cat,red,Charmander,more than 5 hours
No,1,driving,3,R & B,online shopping,Italian,No,3,0,dog,purple,Bulbasaur,3 - 4 hours
Yes,1,driving,1.5,Alternative,online shopping,Japanese,No,9,1,dog,orange,Squirtle,3 - 4 hours
Yes,1,driving,1,Alternative,online shopping,Japanese,No,5,1,dog,purple,Charmander,3 - 4 hours
No,1,driving,3,Indie,online shopping,Mexican,Yes,10,0,dog,green,Bulbasaur,3 - 4 hours
No,1,driving,2,rap,in person shopping,Japanese,No,5,0,neither,green,Squirtle,3 - 4 hours
No,0,other transportation,1,pop,in person shopping,Mediterranean,Yes,2,0,cat,white,none,3 - 4 hours
No,2,driving,0,pop,online shopping,Mexican,No,3,0,dog,blue,none,more than 5 hours
Yes,0,driving,2,reggae,in person shopping,Italian,Yes,0,1,dog,blue,none,more than 5 hours
Yes,1,driving,2,R & B,online shopping,Japanese,No,4,0,dog,purple,Squirtle,more than 5 hours
Yes,2,driving,3,Rock,in person shopping,Mexican,No,4,0,dog,red,Squirtle,more than 5 hours
No,2,driving,0,pop,online shopping,Mediterranean,No,4,0,dog,blue,none,more than 5 hours
Yes,2,driving,3,Metal-core and Screamo/Emo,online shopping,Japanese,Yes,3,0,dog,red,Bulbasaur,1 - 2 hours
No,1,driving,3,rap,online shopping,Chinese,No,2,0,dog,green,Squirtle,1 - 2 hours
Yes,1,other transportation,3,pop,in person shopping,Mexican,No,4,1,dog,purple,none,3 - 4 hours
No,1,driving,4,Metal,in person shopping,Mexican,Yes,4,0,cat,green,Squirtle,more than 5 hours
Yes,1,driving,1,R & B,online shopping,Italian,Yes,3,0,cat,white,none,3 - 4 hours
No,1,driving,8,R & B,in person shopping,Mexican,I don't know,5,0,neither,white,Charmander,more than 5 hours
Yes,2,driving,3,R & B,online shopping,Mexican,No,2,0,dog,green,Charmander,more than 5 hours
Yes,0,other transportation,1,rap,in person shopping,Mexican,No,3,0,dog,black,Squirtle,more than 5 hours
No,1,driving,2,R & B,in person shopping,Mexican,No,5,1,dog,green,Charmander,3 - 4 hours
Yes,1,driving,2,rap,in person shopping,Japanese,No,7,0,dog,black,Squirtle,3 - 4 hours
Yes,1,driving,3,pop,in person shopping,Chinese,No,4,1,neither,purple,none,1 - 2 hours
No,0,driving,3,electronic,in person shopping,Italian,Yes,5,0,dog,white,none,more than 5 hours
No,0,driving,1,electronic,online shopping,Japanese,No,3,0,dog,yellow,none,more than 5 hours
No,1,driving,3,rap,in person shopping,Chinese,No,4,0,cat,red,Squirtle,3 - 4 hours
No,0,driving,1,pop,online shopping,Japanese,Yes,5,0,dog,green,Charmander,3 - 4 hours
Yes,1,driving,0,electronic,in person shopping,Chinese,No,3,0,dog,green,Charmander,3 - 4 hours
No,1,driving,2,country,online shopping,Mexican,No,2,1,dog,green,none,3 - 4 hours
No,0,other transportation,1,electronic,in person shopping,Japanese,No,5,0,cat,purple,Squirtle,1 - 2 hours
Yes,2,driving,2,R & B,online shopping,Chinese,No,2,2,dog,blue,Squirtle,3 - 4 hours
Yes,4,driving,1,R & B,online shopping,Chinese,No,3,0,dog,white,Charmander,more than 5 hours
Yes,1,driving,2,R & B,online shopping,Japanese,No,3,0,cat,blue,Bulbasaur,more than 5 hours
No,1,driving,1,pop,online shopping,Mexican,No,0,0,cat,red,Charmander,more than 5 hours
Yes,2,driving,1,Rock ,online shopping,Italian,Yes,4,1,dog,red,Bulbasaur,more than 5 hours
Yes,1,driving,1,pop,in person shopping,Mexican,No,2,0,dog,blue,none,3 - 4 hours
No,1,driving,2,electronic,online shopping,Mexican,No,1,0,cat,yellow,Squirtle,1 - 2 hours
Yes,3,driving,1,R & B,in person shopping,Italian,No,1,2,neither,yellow,Squirtle,3 - 4 hours
Yes,5,driving,2,country,online shopping,Italian,I don't know,0,0,dog,yellow,Bulbasaur,3 - 4 hours
Yes,1,driving,1,rap,in person shopping,Japanese,No,1,0,cat,white,Charmander,more than 5 hours
No,4,driving,4,pop,online shopping,Mexican,No,3,1,dog,yellow,Bulbasaur,3 - 4 hours
Yes,1,other transportation,3,reggae,online shopping,Mexican,Yes,3,0,neither,purple,Squirtle,3 - 4 hours
Yes,2,other transportation,5,electronic,in person shopping,Japanese,No,2,0,dog,green,Charmander,Less than 1 hour
No,1,driving,4,rap,online shopping,Chinese,I don't know,4,0,cat,green,Charmander,1 - 2 hours
No,2,driving,8,pop,in person shopping,Chinese,I don't know,0,2,neither,green,none,1 - 2 hours
Yes,4,driving,4,pop,in person shopping,Chinese,No,3,2,dog,green blue,none,1 - 2 hours
No,0,other transportation,1,R & B,in person shopping,Mediterranean,No,4,0,neither,purple,Squirtle,more than 5 hours
Yes,1,driving,0,kpop,in person shopping,Japanese,I don't know,2,0,neither,purple,Charmander,3 - 4 hours
Yes,1,driving,1,electronic,online shopping,Chinese,Yes,2,0,neither,orange,Bulbasaur,3 - 4 hours
No,1,driving,3,R & B,online shopping,Mexican,Yes,2,0,cat,purple,Charmander,Less than 1 hour
Yes,5,other transportation,1,R & B,in person shopping,Mexican,No,0,3,cat,yellow,Squirtle,3 - 4 hours
Yes,3,other transportation,4,rap,online shopping,Japanese,I don't know,4,3,neither,purple,Squirtle,more than 5 hours
No,2,driving,0,electronic,online shopping,Japanese,No,0,0,neither,green,none,Less than 1 hour
Yes,2,driving,1,electronic,in person shopping,Japanese,I don't know,6,4,dog,orange,Charmander,3 - 4 hours
Yes,1,driving,2,pop,in person shopping,Japanese,No,15,1,cat,purple,none,3 - 4 hours
No,0,driving,3,rap,online shopping,Italian,No,1,0,cat,purple,Squirtle,more than 5 hours
No,1,driving,2,electronic,in person shopping,Japanese,No,30,0,cat,purple,Squirtle,1 - 2 hours
Yes,1,driving,2,R & B,in person shopping,Mexican,No,4,0,cat,purple,Squirtle,3 - 4 hours
No,0,driving,1,Hip hop,online shopping,Mexican,No,0,0,cat,purple,none,3 - 4 hours
Yes,2,driving,2,Classic rock ,online shopping,Japanese,No,4,0,cat,red,Charmander,3 - 4 hours
Yes,2,driving,3,electronic,online shopping,Mexican,No,5,2,neither,purple,Squirtle,3 - 4 hours
Yes,2,driving,4,R & B,in person shopping,Chinese,Yes,1,2,dog,yellow,none,3 - 4 hours
Yes,4,driving,2,pop,online shopping,Chinese,No,1,2,dog,blue,none,1 - 2 hours
Yes,3,driving,2,pop,in person shopping,Japanese,No,7,0,dog,white,Squirtle,3 - 4 hours
Yes,2,driving,2,pop,online shopping,Japanese,No,2,0,dog,green blue,Charmander,more than 5 hours
No,0,driving,0,R & B,online shopping,Japanese,No,1,1,dog,blue,Charmander,more than 5 hours
No,1,driving,1,R & B,online shopping,Mexican,Yes,2,0,cat,green blue,Squirtle,3 - 4 hours
No,0,driving,1,pop,online shopping,Chinese,No,3,0,dog,purple,Bulbasaur,more than 5 hours
Yes,2,driving,2,R & B,in person shopping,Japanese,No,2,0,dog,green blue,Bulbasaur,more than 5 hours
Yes,0,other transportation,5,Metal,online shopping,Italian,No,1,0,cat,black,Bulbasaur,1 - 2 hours
Yes,4,driving,0,pop,online shopping,Japanese,No,4,4,cat,blue,Charmander,more than 5 hours
No,0,other transportation,4,Indie,online shopping,Mexican,Yes,1,0,neither,red,Bulbasaur,more than 5 hours
No,1,other transportation,0,progressive,in person shopping,Italian,I don't know,0,0,cat,purple,none,3 - 4 hours
Yes,1,other transportation,0,electronic,online shopping,Japanese,Yes,2,0,cat,green blue,none,1 - 2 hours
Yes,1,other transportation,0,pop,online shopping,Mexican,Yes,2,0,cat,blue,none,1 - 2 hours
No,0,driving,2,Classic,in person shopping,Mediterranean,No,10,0,neither,white,none,3 - 4 hours
Yes,1,driving,1,"rock, electronic",in person shopping,Japanese,No,3,2,cat,green blue,none,3 - 4 hours
No,0,other transportation,1,reggae,in person shopping,Japanese,No,3,1,dog,blue,Squirtle,1 - 2 hours
Yes,5,driving,2,Rock,in person shopping,Italian,No,2,3,cat,blue,none,1 - 2 hours
Yes,0,other transportation,1,electronic,online shopping,Mediterranean,No,4,0,dog,orange,Charmander,3 - 4 hours
Yes,2,driving,5,Classical,in person shopping,Chinese,No,1,6,cat,green blue,none,more than 5 hours
Yes,1,driving,3,any,online shopping,Japanese,No,3,0,neither,black,Charmander,more than 5 hours
No,0,driving,3,pop,in person shopping,Mexican,Yes,2,0,cat,green,Bulbasaur,more than 5 hours
No,0,driving,3,pop,in person shopping,Chinese,I don't know,4,0,cat,purple,Squirtle,3 - 4 hours
No,2,driving,2,rap,in person shopping,Mexican,No,0,3,neither,red,none,1 - 2 hours
Yes,2,driving,2,pop,in person shopping,Mexican,No,2,3,cat,yellow,Squirtle,1 - 2 hours
Yes,1,driving,1,rap,in person shopping,Chinese,I don't know,2,0,dog,green,Bulbasaur,3 - 4 hours
Yes,1,driving,3,rap,in person shopping,Japanese,Yes,1,0,cat,white,Charmander,more than 5 hours
No,0,driving,1,pop,in person shopping,Mexican,I don't know,1,0,cat,purple,Squirtle,3 - 4 hours
Yes,2,driving,0,country,online shopping,Mexican,No,3,0,dog,red,Bulbasaur,3 - 4 hours
Yes,2,driving,1,pop,in person shopping,Italian,No,2,0,neither,white,Charmander,more than 5 hours
Yes,1,driving,2,rap,in person shopping,Italian,No,2,0,dog,green blue,Charmander,more than 5 hours
No,1,driving,1,electronic,in person shopping,Mexican,No,3,0,cat,green,Squirtle,more than 5 hours
Yes,2,driving,2,electronic,in person shopping,Japanese,I don't know,3,0,cat,orange,none,3 - 4 hours
No,0,driving,0,rock,in person shopping,Mediterranean,Yes,1,0,cat,blue,none,3 - 4 hours
No,1,driving,1,pop,in person shopping,Italian,No,1,0,dog,white,Charmander,more than 5 hours
Yes,3,driving,1,pop,online shopping,Japanese,No,0,2,cat,green,Charmander,Less than 1 hour
Yes,3,driving,4,pop,online shopping,Chinese,No,6,2,cat,yellow,none,Less than 1 hour
No,0,other transportation,1,rap,online shopping,Japanese,No,4,0,cat,blue,Charmander,Less than 1 hour
Yes,1,driving,3,Classic,in person shopping,Japanese,No,8,2,dog,purple,none,Less than 1 hour
Yes,1,other transportation,2,country,online shopping,Chinese,No,5,0,neither,red,Squirtle,1 - 2 hours
No,0,driving,1,rap,in person shopping,Japanese,No,4,0,cat,green,Bulbasaur,1 - 2 hours
Yes,2,other transportation,0,electronic,online shopping,Chinese,Yes,7,0,dog,orange,Charmander,3 - 4 hours
Yes,1,driving,2,pop,online shopping,Italian,No,3,0,dog,blue,Squirtle,1 - 2 hours
No,0,other transportation,3,pop,online shopping,Mexican,Yes,6,0,cat,blue,Squirtle,1 - 2 hours
No,0,other transportation,1,electronic,in person shopping,Italian,No,4,0,dog,orange,Charmander,1 - 2 hours
No,2,driving,1,pop,online shopping,Japanese,Yes,2,1,cat,green,Bulbasaur,1 - 2 hours
Yes,3,other transportation,6,country,online shopping,Italian,No,8,4,dog,black,Squirtle,Less than 1 hour
No,0,driving,2,pop,in person shopping,Chinese,No,2,0,dog,purple,none,1 - 2 hours
Yes,1,driving,10,R & B,online shopping,Japanese,Yes,5,1,dog,purple,Charmander,3 - 4 hours
No,0,other transportation,4,rock,in person shopping,Mediterranean,No,2,0,cat,green,none,3 - 4 hours
No,2,driving,10,Indie pop,online shopping,Japanese,Yes,2,2,dog,blue,Squirtle,more than 5 hours
No,0,other transportation,1,pop,online shopping,Japanese,No,4,0,dog,purple,Charmander,more than 5 hours
No,2,other transportation,2,R & B,in person shopping,Mexican,No,7,0,dog,red,none,3 - 4 hours
No,3,driving,6,classical & jazz,in person shopping,Chinese,No,2,0,cat,red,none,Less than 1 hour
No,0,driving,0,classical,in person shopping,Japanese,No,2,0,cat,purple,Charmander,more than 5 hours
Yes,1,other transportation,3,rap,online shopping,Japanese,No,10,0,cat,green,Bulbasaur,more than 5 hours
No,1,other transportation,0,indie,in person shopping,Japanese,No,12,0,neither,white,Charmander,1 - 2 hours
No,1,driving,2,Rock,in person shopping,Mexican,I don't know,7,0,cat,blue,Charmander,1 - 2 hours
No,0,other transportation,3,rap,in person shopping,Italian,No,3,0,cat,green,Squirtle,3 - 4 hours
Yes,1,driving,3,country,online shopping,Mexican,Yes,4,0,dog,black,Bulbasaur,3 - 4 hours
